-65,3.3816,-10
-63.375,3.3816,-10
-61.75,3.3816,-10
-60.125,2.9176,-10
-58.5,2.9176,-10
-56.875,2.9176,-10
-55.25,2.9176,-10
-53.625,2.9176,-10
-52,2.9176,-10
-50.375,2.9176,-10
-48.75,2.9176,-10
-47.125,1.3308,-10
-45.5,1.3308,-10
-43.875,1.3308,-10
-42.25,1.3308,-10
-40.625,1.3308,-10
-39,1.3308,-10
-37.375,1.3308,-10
-35.75,1.3308,-10
-34.125,1.3308,-10
-32.5,1.3308,-10
-30.875,1.3308,-10
-29.25,1.3308,-10
-27.625,1.3308,-10
-26,-0.54092,-10
-24.375,-0.54092,-10
-22.75,-0.54092,-10
-21.125,-0.54092,-10
-19.5,-0.54092,-10
-17.875,-0.54092,-10
-16.25,-0.54092,-10
-14.625,-0.54092,-10
-13,-0.54092,-10
-11.375,-0.54092,-10
-9.75,-0.54092,-10
-8.125,-0.54092,-10
-6.5,-0.54092,-10
-4.875,-0.94239,-10
-3.25,-0.94239,-10
-1.625,-0.94239,-10
0,-0.94239,-10
1.625,-0.94239,-10
3.25,-0.94239,-10
4.875,-0.94239,-10
6.5,-0.54092,-10
8.125,-0.54092,-10
9.75,-0.54092,-10
11.375,-0.54092,-10
13,-0.54092,-10
14.625,-0.54092,-10
16.25,-0.54092,-10
17.875,-0.54092,-10
19.5,-0.54092,-10
21.125,-0.54092,-10
22.75,-0.54092,-10
24.375,-0.54092,-10
26,1.2854,-10
27.625,1.2854,-10
29.25,1.2854,-10
30.875,1.2854,-10
32.5,1.2854,-10
34.125,1.2854,-10
35.75,1.2854,-10
37.375,1.2854,-10
39,1.2854,-10
40.625,1.2854,-10
42.25,1.2854,-10
43.875,1.2854,-10
45.5,1.2854,-10
47.125,2.7867,-10
48.75,2.7867,-10
50.375,2.7867,-10
52,2.7867,-10
53.625,2.7867,-10
55.25,2.7867,-10
56.875,2.7867,-10
58.5,2.7867,-10
60.125,3.3816,-10
61.75,3.3816,-10
63.375,3.3816,-10
65,3.3816,-10
-65,3.3816,-9
-63.375,3.3816,-9
-61.75,3.3816,-9
-60.125,2.9176,-9
